qtr,down,play_type,pass_length_numerical_mean,pass_length_numerical_count,pass_length_numerical,pass_location_numerical_mean,pass_location_numerical_count,pass_location_numerical_std,run_location_numerical_mean,run_location_numerical_count,run_location_numerical_std
1,1,pass,0.769750739,14202,0.421007148,0.55446416,14202,0.448269052,1,14202,0
1,1,run,0,18614,0,1,18614,0,0.50196089,18614,0.436949125
1,2,pass,0.812628907,12606,0.39022461,0.541527844,12606,0.447524831,1,12606,0
1,2,run,8.41E-05,11886,0.009172382,1,11886,0,0.501808851,11886,0.430163807
1,3,pass,0.754495383,12346,0.430403421,0.559006966,12346,0.432645504,1,12346,0
1,3,run,0,2855,0,1,2855,0,0.504728546,2855,0.403725713
1,4,pass,0.823863636,176,0.382022982,0.588068182,176,0.433490439,1,176,0
1,4,run,0,330,0,1,330,0,0.533333333,330,0.39997467
2,1,pass,0.74789458,20186,0.434232217,0.548152185,20186,0.439993249,1,20186,0
2,1,run,5.72E-05,17490,0.00756145,0.999942824,17490,0.00756145,0.500543168,17490,0.429536252
2,2,pass,0.78403942,17656,0.411498722,0.546018351,17656,0.439507467,1,17656,0
2,2,run,0,10830,0,1,10830,0,0.49833795,10830,0.424617625
2,3,pass,0.738512488,14494,0.43946003,0.559058921,14494,0.432415385,1,14494,0
2,3,run,0,3550,0,1,3550,0,0.512112676,3550,0.395978358
2,4,pass,0.666666667,393,0.472005419,0.596692112,393,0.441257768,1,393,0
2,4,run,0,403,0,1,403,0,0.513647643,403,0.38204392
3,1,pass,0.748291957,14783,0.434009039,0.553845633,14783,0.444310298,1,14783,0
3,1,run,0,18573,0,1,18573,0,0.502234426,18573,0.431418558
3,2,pass,0.786757337,13970,0.409612304,0.5456335,13970,0.443787595,1,13970,0
3,2,run,9.40E-05,10638,0.009695495,0.999905997,10638,0.009695495,0.494688851,10638,0.424573061
3,3,pass,0.739041711,12251,0.439175141,0.56350502,12251,0.432561719,1,12251,0
3,3,run,0,2794,0,1,2794,0,0.503400143,2794,0.403935925
3,4,pass,0.794721408,341,0.404498595,0.549853372,341,0.442760368,1,341,0
3,4,run,0,323,0,1,323,0,0.543343653,323,0.362844135
4,1,pass,0.753146925,19384,0.431191635,0.54934482,19384,0.434810404,1,19384,0
4,1,run,5.94E-05,16843,0.007705313,0.999970314,16843,0.003852656,0.507154307,16843,0.426380969
4,2,pass,0.773198347,16693,0.418775798,0.549212245,16693,0.434709203,1,16693,0
4,2,run,0,11108,0,1,11108,0,0.504591286,11108,0.422457051
4,3,pass,0.72960024,13358,0.444182958,0.560226082,13358,0.434295489,1,13358,0
4,3,run,0,4597,0,1,4597,0,0.50924516,4597,0.408343434
4,4,pass,0.689339122,2073,0.462875849,0.571635311,2073,0.422641169,1,2073,0
4,4,run,0,646,0,1,646,0,0.53250774,646,0.390422823
5,1,pass,0.737442922,438,0.440526874,0.554794521,438,0.445380385,1,438,0
5,1,run,0,575,0,1,575,0,0.5,575,0.423606549
5,2,pass,0.785553047,443,0.410902162,0.562076749,443,0.450095237,1,443,0
5,2,run,0,332,0,1,332,0,0.512048193,332,0.420227989
5,3,pass,0.730337079,356,0.444409276,0.573033708,356,0.444373665,1,356,0
5,3,run,0,119,0,1,119,0,0.56302521,119,0.398910709
5,4,pass,0.565217391,23,0.506869802,0.52173913,23,0.412262628,1,23,0
5,4,run,0,13,0,1,13,0,0.346153846,13,0.375533808
